Timestamp (GMT+7),DO Value,DO Temperature,EC Value (us/cm),EC Temperature,Battery Voltage
2024-10-04 00:00:37+07:00,-9999.00000,-9999.00000,0,25.00000,8.00336
2024-10-04 00:01:52+07:00,-9999.00000,-9999.00000,0,25.00000,7.98860
2024-10-04 00:07:43+07:00,-9999.00000,-9999.00000,0,25.00000,7.98122
2024-10-04 00:08:57+07:00,-9999.00000,-9999.00000,0,25.00000,7.97384
2024-10-04 00:10:11+07:00,-9999.00000,-9999.00000,0,25.00000,7.92464
2024-10-04 00:11:29+07:00,-9999.00000,-9999.00000,0,25.00000,7.88528
2024-10-04 00:12:44+07:00,-9999.00000,-9999.00000,0,25.00000,7.98122
2024-10-04 00:13:59+07:00,-9999.00000,-9999.00000,0,25.00000,7.98368
2024-10-04 00:15:14+07:00,-9999.00000,-9999.00000,0,25.00000,7.97384
2024-10-04 00:16:29+07:00,-9999.00000,-9999.00000,0,25.00000,7.91972
2024-10-04 00:17:43+07:00,-9999.00000,-9999.00000,0,25.00000,7.98122
2024-10-04 00:18:59+07:00,-9999.00000,-9999.00000,0,25.00000,7.98122
2024-10-04 00:20:14+07:00,-9999.00000,-9999.00000,0,25.00000,7.97384
2024-10-04 00:21:29+07:00,-9999.00000,-9999.00000,0,25.00000,7.87298
2024-10-04 00:22:43+07:00,-9999.00000,-9999.00000,0,25.00000,7.98122
2024-10-04 00:23:58+07:00,-9999.00000,-9999.00000,0,25.00000,7.97384
2024-10-04 00:25:12+07:00,-9999.00000,-9999.00000,0,25.00000,7.95170
2024-10-04 00:26:26+07:00,-9999.00000,-9999.00000,0,25.00000,7.97384
2024-10-04 00:27:41+07:00,-9999.00000,-9999.00000,0,25.00000,7.97138
2024-10-04 00:28:58+07:00,-9999.00000,-9999.00000,0,25.00000,7.96646
2024-10-04 00:30:17+07:00,-9999.00000,-9999.00000,0,25.00000,7.96892
2024-10-04 00:31:32+07:00,-9999.00000,-9999.00000,0,25.00000,7.97138
2024-10-04 00:32:45+07:00,-9999.00000,-9999.00000,0,25.00000,7.96892
2024-10-04 00:34:02+07:00,-9999.00000,-9999.00000,0,25.00000,7.97138
2024-10-04 00:35:16+07:00,-9999.00000,-9999.00000,0,25.00000,7.96646
2024-10-04 00:36:38+07:00,-9999.00000,-9999.00000,0,25.00000,7.96892
2024-10-04 00:37:59+07:00,-9999.00000,-9999.00000,0,25.00000,7.98122
2024-10-04 00:39:13+07:00,-9999.00000,-9999.00000,0,25.00000,7.98122
2024-10-04 00:40:27+07:00,-9999.00000,-9999.00000,0,25.00000,7.96892
2024-10-04 00:41:42+07:00,-9999.00000,-9999.00000,0,25.00000,7.99106
2024-10-04 00:42:56+07:00,-9999.00000,-9999.00000,0,25.00000,7.98368
2024-10-04 00:44:10+07:00,-9999.00000,-9999.00000,0,25.00000,7.97384
2024-10-04 00:45:24+07:00,-9999.00000,-9999.00000,0,25.00000,7.97630
2024-10-04 00:46:38+07:00,-9999.00000,-9999.00000,0,25.00000,7.97138
